variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.333333333333333	0.392763513142931	0.398211037034702
readsCytFraction	mRNA	0.631541391570237	0.584618123800695	0.632963377534869
readsPerKbRatioCytFraction	lncRNA	0.333333333333333	0.393358688133637	0.459206532994495
readsPerKbRatioCytFraction	mRNA	0.618443801712372	0.576570993278423	0.687052776864351
RPKM_cytFraction	lncRNA	0.235645792188019	0.315440546112348	0.33292467736961
RPKM_cytFraction	mRNA	0.490978502301309	0.478337079923964	0.563983014474763
RPKM_spikeIn_cytFraction	lncRNA	0.286461674061256	0.351624233069693	0.39510393555119
RPKM_spikeIn_cytFraction	mRNA	0.557936211	0.527614172420141	0.625564443022813
