variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.5	0.497981196011976	0.519294615155778
readsCytFraction	mRNA	0.701393467280624	0.641155682252574	0.719075737156945
readsPerKbRatioCytFraction	lncRNA	0.5	0.501056498926313	0.618694209620164
readsPerKbRatioCytFraction	mRNA	0.700589897956394	0.640242080530381	0.771953738218335
RPKM_cytFraction	lncRNA	0.285054748931163	0.373010644787201	0.401052838486058
RPKM_cytFraction	mRNA	0.492214871032042	0.482189980134681	0.575100596386225
RPKM_spikeIn_cytFraction	lncRNA	0.439694490114869	0.474131776260919	0.569195562515356
RPKM_spikeIn_cytFraction	mRNA	0.655858423377313	0.603440848832492	0.725750714555373
