variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.373684214459834	0.41675966168405	0.276453279900972
readsCytFraction	mRNA	0.504627186984838	0.497469459311515	0.537440394568142
readsPerKbRatioCytFraction	lncRNA	0.382896560952564	0.421854234686536	0.554293508767526
readsPerKbRatioCytFraction	mRNA	0.511202283253878	0.503220359261658	0.632013312123093
RPKM_cytFraction	lncRNA	0.351022454781972	0.400868450327273	0.523041624935433
RPKM_cytFraction	mRNA	0.477738112945878	0.475995859391848	0.600641685916904
RPKM_spikeIn_cytFraction	lncRNA	0.408171692254329	0.438476778161873	0.582016545032355
RPKM_spikeIn_cytFraction	mRNA	0.537864786747091	0.52471256662605	0.656785941223002
