variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	1	0.683259267071085	0.0776758318080434
readsCytFraction	mRNA	0.967986212430067	0.669626899892919	0.299146046605984
readsPerKbRatioCytFraction	lncRNA	1	0.680352773919434	0.149426991772661
readsPerKbRatioCytFraction	mRNA	0.953946449538374	0.66285428340479	0.352461180509139
RPKM_cytFraction	lncRNA	1	0.712332318417655	0.297988027806543
RPKM_cytFraction	mRNA	0.980608045544543	0.717009829931088	0.57402849247533
RPKM_spikeIn_cytFraction	lncRNA	1	0.730801310777226	0.379224849212549
RPKM_spikeIn_cytFraction	mRNA	0.987438380320076	0.741600483298443	0.639017444581375
