variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.340589486067336	0.392272325888949	0.26904681713637
readsCytFraction	mRNA	0.573337915577724	0.551261025258001	0.434687554035188
readsPerKbRatioCytFraction	lncRNA	0.348008891699033	0.391347548583537	0.34986433289706
readsPerKbRatioCytFraction	mRNA	0.570345517906136	0.550003111751362	0.501621259671381
RPKM_cytFraction	lncRNA	0.55531586069898	0.542392548967479	0.387100167848729
RPKM_cytFraction	mRNA	0.753098882737808	0.697842433689182	0.56304027872965
RPKM_spikeIn_cytFraction	lncRNA	0.377347204638233	0.408920345444482	0.448615883778967
RPKM_spikeIn_cytFraction	mRNA	0.607966868438033	0.578595877573547	0.598329483843159
