variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.504082615073185	0.51902905796396	0.530901779283893
readsCytFraction	mRNA	0.738911578236375	0.68487637073028	0.748200645087307
readsPerKbRatioCytFraction	lncRNA	0.517932930804934	0.522699293454688	0.733472460873576
readsPerKbRatioCytFraction	mRNA	0.740155064381713	0.684762325620458	0.803944678689804
RPKM_cytFraction	lncRNA	0.286088613832067	0.367309517090266	0.491640348972288
RPKM_cytFraction	mRNA	0.496118097265982	0.489166720477816	0.588262047754005
RPKM_spikeIn_cytFraction	lncRNA	0.408765835448605	0.444661133424421	0.623105015245916
RPKM_spikeIn_cytFraction	mRNA	0.629601130022294	0.592975913475419	0.712254840299189
