variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.5	0.514339484968643	0.484126149881864
readsCytFraction	mRNA	0.577928268332431	0.568871395724699	0.558534470151202
readsPerKbRatioCytFraction	lncRNA	0.5	0.512964144727904	0.450756273774163
readsPerKbRatioCytFraction	mRNA	0.554556547523095	0.550865896433821	0.579007522380627
RPKM_cytFraction	lncRNA	0.443636347547423	0.473944222893969	0.395552224039597
RPKM_cytFraction	mRNA	0.498170391000073	0.504198437402757	0.523054531305942
RPKM_spikeIn_cytFraction	lncRNA	0.612918060054214	0.593715498391861	0.565122796643453
RPKM_spikeIn_cytFraction	mRNA	0.663446998955277	0.642916889086958	0.685312608487115
