variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.434595603967646	0.463609595747283	0.404265300576808
readsCytFraction	mRNA	0.479949369738476	0.473765983726202	0.443106047234545
readsPerKbRatioCytFraction	lncRNA	0.443056479347227	0.467360950265766	0.531000105117591
readsPerKbRatioCytFraction	mRNA	0.482377021818393	0.477051286912952	0.495725083693076
RPKM_cytFraction	lncRNA	0.477179606391638	0.49223896758989	0.588674477715582
RPKM_cytFraction	mRNA	0.528029528174266	0.515424593273755	0.560482092954577
RPKM_spikeIn_cytFraction	lncRNA	0.509919572843316	0.520699091622201	0.623133495410624
RPKM_spikeIn_cytFraction	mRNA	0.566260088829518	0.546979256443334	0.59088060596857
