variable	gene_type	medianVal	meanVal	fracCytNucTotals
readsCytFraction	lncRNA	0.266666666666667	0.345538920791101	0.256912789869133
readsCytFraction	mRNA	0.461636665390017	0.472222763409656	0.501098955197443
readsPerKbRatioCytFraction	lncRNA	0.273878536315706	0.349453520343113	0.411050934639352
readsPerKbRatioCytFraction	mRNA	0.465526070736084	0.476770466835199	0.601409581052827
RPKM_cytFraction	lncRNA	0.267920464785835	0.349495239601119	0.426653198107838
RPKM_cytFraction	mRNA	0.472719340939588	0.480992126838884	0.606482561790145
RPKM_spikeIn_cytFraction	lncRNA	0.334606929038636	0.397255987501502	0.502360406570854
RPKM_spikeIn_cytFraction	mRNA	0.550015677789255	0.539366474110881	0.678326053863685
